order_id,product_id,supplier_id,warehouse_id,order_date,delivery_date,quantity,unit_price,shipping_cost,order_status
O000001,P182,S072,W16,2025-08-09,2025-08-13,55,3933.18,237.41,Delivered
O000002,P419,S048,W10,2024-09-26,2024-10-07,13,2624.11,453.45,Delayed
O000003,P068,S065,W13,2025-09-14,2025-10-01,118,880.05,269.28,Delayed
O000004,P107,S020,W18,2025-07-09,2025-07-22,53,3070.91,19.88,Delayed
O000005,P250,S014,W20,2025-01-07,2025-01-24,15,2864.62,336.31,Delayed
O000006,P325,S044,W19,2023-06-19,2023-07-02,60,4449.85,15.15,Delayed
O000007,P047,S069,W04,2024-06-04,2024-06-21,101,190.81,5.84,Delayed
O000008,P068,S085,W05,2023-02-09,2023-02-28,93,3668.79,445.52,Delayed
O000009,P253,S046,W06,2025-08-12,2025-08-27,29,2173.04,134.71,Delayed
O000010,P339,S014,W04,2025-09-10,2025-09-14,141,2268.71,449.68,Delivered
O000011,P156,S084,W04,2025-09-01,2025-09-19,175,4843.55,90.44,Delayed
O000012,P343,S069,W06,2023-02-07,2023-02-18,20,1799.61,290.21,Delayed
O000013,P248,S062,W11,2023-11-24,2023-12-03,179,2962.34,169.35,Delayed
O000014,P322,S073,W09,2025-07-02,2025-07-18,145,1318.16,54.93,Delayed
O000015,P220,S083,W02,2024-03-29,2024-04-01,146,1863.95,215.16,Delivered
O000016,P490,S094,W13,2023-02-06,2023-02-24,42,2824.28,338.47,Delayed
O000017,P011,S033,W09,2025-08-30,2025-09-16,70,4980.33,235.13,Delayed
O000018,P111,S029,W09,2025-03-06,2025-03-16,33,2907.13,288.39,Delayed
O000019,P350,S034,W09,2025-08-30,2025-09-04,88,1143.71,203.81,Delivered
O000020,P086,S053,W09,2024-08-15,2024-08-30,167,4823.59,384.4,Delayed
O000021,P125,S074,W17,2025-11-29,2025-12-17,145,1340.09,320.67,Delayed
O000022,P489,S085,W13,2023-08-12,2023-08-17,2,2912.89,327.39,Delivered
O000023,P465,S059,W09,2023-11-14,2023-11-29,169,209.89,405.29,Delayed
O000024,P280,S019,W07,2023-12-15,2023-12-21,132,2264.32,314.21,Delivered
O000025,P230,S084,W13,2023-04-25,2023-05-03,172,4708.99,233.7,Delayed
O000026,P356,S066,W12,2024-11-28,2024-12-01,149,132.24,180.58,Delivered
O000027,P470,S036,W16,2025-11-29,2025-12-04,173,1456.24,227.95,Delivered
